sample,m_r_cv,m_gmax,m_V,m_nzero,s_r_cv,s_gmax,s_V,s_nzero,m_lit_r_cv,m_lit_gmax,s_lit_r_cv,s_lit_gmax
582,2.727683841336193,90.5209210938789,0.5921619447953494,2,2.2212268759848577,91.54068853225257,0.6639784501526762,2,3.9877957620269826,91.80645516550933,3.2424013140915857,148.4041155673633
583,2.2343851527145433,61.33296728503994,0.4185674593178229,2,2.2104419128667514,61.067663760685214,0.4214711071030742,2,3.3706124909502906,90.59593225769768,2.9221961468667015,113.785587345433
584,3.213497788483616,71.2672931638689,0.6085348811328364,2,2.781609012408508,109.39852662075063,0.7619792087078529,2,3.8304131416794647,123.68907894117405,2.843553024688383,118.05764525849483
585,1.7763318263103687,38.36063171352638,0.3259419844563198,2,2.5911084998308445,53.192959314711885,0.5314825240124306,2,2.7924779934322586,90.87343746247957,3.092065329956542,111.72384596023024
586,2.4274694059571633,45.79446012265256,0.3991808485612897,2,2.7041220227878604,91.78342962946527,0.6172504155454893,2,3.630755961520088,107.00720692160333,2.763041981632012,92.18397828768313
587,3.033798369920492,86.87670861271417,0.55735425083365,2,2.692880859362925,91.34430622743815,0.60372723514842,2,3.4854973644474834,94.95626387260732,2.7312847181675046,97.81778428696808
588,3.0922963578022924,79.10487340157746,0.5601135138364722,2,2.8082646691476416,78.97276703495531,0.7226632841008301,2,3.587864726808122,103.98016592628186,3.2378974657445028,91.96726509369846
589,3.3868053639174858,57.391073790667356,0.6178821484326349,2,2.826343872897954,95.96487210707672,0.764494760359129,2,3.6906740691401834,108.71495072812996,3.2705295730544646,120.49637241414423
590,3.6284266766117828,73.84359495956399,0.6835083723828115,2,2.8189702218896615,106.7789976492152,0.762900267737305,2,4.479479996021337,94.07415156058768,3.2703532819867696,157.66764678715444
591,3.026954755645536,82.89470768705881,0.6755024643501283,2,2.7267325181989825,91.22513471620796,0.7846195229235727,2,4.371608446133349,151.89105343044497,3.2708201791052787,168.76891010406575
592,2.8101640718147136,70.21307643384691,0.5551935242938842,2,2.4831912804665794,95.19874458215723,0.6447614945375624,2,3.4233348457162887,91.77732012321258,2.7786521046788213,94.7818872657948
593,2.314474478431692,45.06703399624982,0.3940157833486083,2,2.291972806804592,71.06469403554227,0.6388468660157895,2,3.3289459448923826,101.15509459146827,3.2278983002875488,108.1870218047977
594,2.634449334258607,90.08323403822924,0.4968432624029398,2,2.754264268220887,91.1019938155324,0.6947346139841963,2,2.954078084039496,91.09590555700517,2.7604387739640397,99.7285330392729
595,3.455155712208206,90.78093797405023,0.6065590007140411,2,2.847580062702294,107.13624977278086,0.7975616224768476,2,3.585931117209622,93.47643655898517,3.2982032223563786,103.39591491821281
596,3.5841899193339968,90.61173444673531,0.7086771069649329,2,2.8344425525185537,123.51545929456044,0.8337389869817398,2,3.9075180640672347,123.51660242763606,3.270629186643278,167.83380807562466
597,3.2825570036517253,79.85490553758346,0.6062915312254169,2,2.8357914077251727,109.09590914907515,0.7814532205140379,2,3.4824479487480766,92.69932109507663,2.843997035124111,109.78854082665555
598,2.7222530185153575,47.43187028110199,0.5065384787449625,2,2.7142211087277524,91.37951420997084,0.66486168233167,2,3.477494644396943,108.1500160937945,2.8384406488068077,117.91319062399357
599,2.624494258209878,69.04051258466578,0.49708640212949984,2,2.81679799240603,93.40157849602348,0.759005625945114,2,2.7201941112756742,133.49245531498508,3.233145912049528,95.64448563865696
600,3.001593504458238,90.6635997889789,0.5435770262210353,2,2.746002147278514,91.38777224152095,0.6674415255480535,2,3.9933694452984825,91.41723794666991,2.8070172141158185,100.5032449979371
601,3.0492045948276965,90.57689023024984,0.6285838257032805,2,2.811159045735988,113.58378863091424,0.8042697982905083,2,3.1822351799430497,90.20251598587075,2.8093745205594725,110.33741697020913
602,2.484237879723147,76.34475149453199,0.551991607607894,2,2.279551321580928,92.74368386054938,0.6485114689935916,2,3.906154777422138,91.39597359121066,3.1675217253425387,90.71151890727246
603,2.218511349441092,37.09587196321281,0.4497183747889479,2,2.7057649485603648,77.15676928583709,0.5541467457011793,2,2.6023678727643382,94.64962812733478,2.7705527797709446,108.05657585942197
604,2.0476613111162587,71.1909584607181,0.3957157886624306,2,2.5246037591221264,94.40436368042246,0.416210232790198,2,3.3983307059942507,102.15640328952759,2.739163494471364,103.44486897393591
605,3.059685347313,90.77807645109688,0.5330707026767891,2,2.732312861731993,91.38130874778057,0.6783705210557431,2,4.315342823012367,124.93370335903234,3.2695961219948773,119.49385124173969
606,2.6876185754942608,90.25368072397583,0.5413352262502871,2,2.7733122336560463,91.15362676863592,0.740439253699304,2,3.36485898597658,99.71402409630198,2.808420564872996,102.65239733916958
607,3.3921688130959824,90.616886144236,0.6079892423301563,2,2.8109360007732573,91.21889983431662,0.7348848889955143,2,3.597341693221557,95.39461632629984,3.2729629234419915,158.84800872449992
608,3.3997812452748315,64.59201754681018,0.645689282463098,2,2.8504552479678034,106.74422049597054,0.7662383795465101,2,3.3488029305121976,91.08830578976351,2.80118761631874,104.18734587317634
609,3.2344743720189126,55.02604767045951,0.6823968846257564,2,2.850323747874626,117.61800089765664,0.8359653045955823,2,4.018723076763542,106.19921985079293,3.2701433487805875,147.201982639254
610,3.001912982786511,33.05205447909471,0.4461326628851575,2,2.866001747376553,86.63402364732197,0.6508185579380532,2,4.019156938894126,90.38391874138388,2.807846083948515,104.92605079184682
611,1.5393704883550376,45.42798273090457,0.35329808483453357,2,1.937836434606899,67.91397537606692,0.5411102083836699,2,1.689379244354832,90.14600689311703,2.9283580569078116,90.63082287597565
612,2.8571377531147903,90.66958848509168,0.5952188918653295,2,2.7591392533642916,111.24814530611344,0.7281900180867943,2,3.9362942159940193,138.9413913843149,2.8489725041412415,116.11194363914797
613,3.6572258071647257,90.6270439160256,0.7450029127128437,2,2.837957796792407,116.28617444945917,0.7899868023736616,2,3.893558842533195,119.50859704453227,3.2707381472243844,165.40709099603708
614,3.466451405601859,63.99081045306267,0.6346731511585075,2,2.8078665261684,89.12667317773334,0.7089786232711938,2,3.97585914417401,115.52453830519856,3.2540651541840004,91.71015944541433
615,2.1912696977648345,33.45056036115177,0.35159989721537555,2,2.5882718734582597,91.89398709249572,0.5585630805340831,2,2.8722416314591204,90.47071489688534,2.757297166351275,101.5057435783517
616,2.379798668569823,89.35513948006563,0.44165678900531624,2,2.6331589791555325,91.33589897583808,0.559815755566553,2,3.187286684986757,107.03143207689112,2.8379602070029657,122.0877106282744
617,2.8666734156934974,90.74828756229435,0.600430530802387,2,2.761689138507921,104.06335771113757,0.7141146651527747,2,4.489202337669605,140.46732020349305,2.8553405744947042,129.96474349788326
618,3.191435264130969,80.74449652879193,0.5481574947664316,2,2.763861490206508,59.228826800371884,0.6157070486944842,2,3.4905181514089114,94.09712109027059,3.16919148216896,90.98710490513089
619,3.0262004259634248,90.70102811485255,0.5188784237592389,2,2.8246960271550168,105.34013171513729,0.7536500314238612,2,3.5460373816090396,95.84177442460587,2.8089382295316083,92.11285412806623
620,3.467265421816789,81.67026165680169,0.6578797808396332,2,2.330966596437958,93.55324065571793,0.6303746362587407,2,3.7511660478478954,116.9644932100258,3.2705253383383264,168.3358951848808
621,2.964640160330737,71.08389102208112,0.5951000684623123,2,2.702024868782141,112.76054156778945,0.6940030982802512,2,4.20734350685798,128.0240092031643,2.8519828596300565,126.36289497952598
