seed,n,op,wrong,sim
1,25,-,0,0.8571593913749194
1,26,+,0,0.9499999999999998
1,26,-,0,0.9441175904999112
1,27,+,0,0.9499999999999998
1,27,-,0,0.9499999999999998
1,28,+,0,0.9374999999999999
1,28,-,0,0.9499999999999998
1,29,+,0,0.9374999999999999
1,29,-,0,0.9374999999999999
1,30,+,0,0.9249999999999998
1,30,-,0,0.9124999999999999
1,31,+,0,0.8124999999999999
1,31,-,0,0.8499999999999999
1,32,+,0,0.9249999999999998
1,32,-,0,0.8374999999999998
1,33,+,0,0.9249999999999998
1,33,-,0,0.9249999999999998
1,34,+,0,0.9124999999999999
1,34,-,0,0.9249999999999998
1,35,+,0,0.9124999999999999
1,35,-,0,0.8874999999999998
1,36,+,0,0.8999999999999998
1,36,-,0,0.8749999999999999
1,37,+,0,0.8999999999999998
1,37,-,0,0.8499999999999999
1,38,+,0,0.882004591124917
1,38,-,0,0.8447367914999205
1,39,+,0,0.9249999999999998
1,39,-,0,0.8874999999999998
1,40,+,0,0.9249999999999998
1,40,-,0,0.9249999999999998
1,41,+,0,0.9249999999999998
1,41,-,0,0.9249999999999998
1,42,+,0,0.8374999999999998
1,42,-,0,0.8374999999999998
1,43,+,0,0.8874999999999998
1,43,-,0,0.8874999999999998
1,44,+,0,0.8874999999999998
1,44,-,0,0.8874999999999998
1,45,+,0,0.9374999999999999
1,45,-,0,0.9259259259259259
1,46,+,0,0.9624999999999998
1,46,-,0,0.9629629629629629
1,47,+,0,0.9624999999999998
1,47,-,0,0.9629629629629629
1,48,+,0,0.8749999999999999
1,48,-,0,0.7702011922499276
1,49,+,0,0.8749999999999999
1,49,-,0,0.9249999999999998
1,50,+,0,0.8999999999999998
1,50,-,0,0.9249999999999998
1,51,+,0,0.8999999999999998
1,51,-,0,0.8749999999999999
1,52,+,0,0.8695819912499182
1,52,-,0,0.8624999999999998
1,53,+,0,0.9374999999999999
1,53,-,0,0.9124999999999999
1,54,+,0,0.9624999999999998
1,54,-,0,0.9374999999999999
1,55,+,0,0.9624999999999998
1,55,-,0,0.9374999999999999
1,56,+,0,0.9383431168171099
1,56,-,0,0.9068497908749147
1,57,+,0,0.9383431168171099
1,57,-,0,0.8447367914999205
1,58,+,0,0.861001468878982
1,58,-,0,0.8749999999999999
1,59,+,0,0.9048260245242022
1,59,-,0,0.882004591124917
1,60,+,0,0.9048260245242022
1,60,-,0,0.882004591124917
1,61,+,0,0.8835852486128687
1,61,-,0,0.882004591124917
1,62,+,0,0.7749999999999999
1,62,-,0,0.8249999999999998
1,63,+,0,0.8249999999999998
1,63,-,0,0.8374999999999998
1,64,+,1,0.9999999999999998
1,64,-,0,0.9624999999999998
1,65,+,0,0.9999999999999998
1,65,-,0,0.9624999999999998
1,66,+,0,0.9249999999999998
1,66,-,0,0.9499999999999998
1,67,+,0,0.8249999999999998
1,67,-,0,0.7999999999999998
1,68,+,0,0.7999999999999998
1,68,-,0,0.7874999999999999
1,69,+,0,0.8874999999999998
1,69,-,0,0.9249999999999998
1,70,+,0,0.9124999999999999
1,70,-,0,0.9249999999999998
1,71,+,0,0.9124999999999999
1,71,-,0,0.8374999999999998
1,72,+,0,0.8571593913749194
1,72,-,0,0.9374999999999999
1,73,+,0,0.8571593913749194
1,73,-,0,0.9374999999999999
1,74,+,0,0.807468991874924
1,74,-,0,0.8499999999999999
1,75,+,0,0.8374999999999998
1,75,-,0,0.8624999999999998
1,76,+,0,0.9249999999999998
1,76,-,0,0.9124999999999999
1,77,+,0,0.9499999999999998
1,77,-,0,0.9374999999999999
1,78,+,0,0.9499999999999998
1,78,-,0,0.9499999999999998
1,79,+,0,0.9629629629629629
1,79,-,0,0.9624999999999998
1,80,+,0,0.9629629629629629
1,80,-,0,0.9624999999999998
1,81,+,0,0.9068497908749147
1,81,-,0,0.8488746876271653
2,0,+,0,1.0
2,0,-,0,0.9938079899999065
2,1,+,1,1.0
2,1,-,0,0.9938837346736189
2,2,+,0,0.9878783399072131
2,2,-,0,0.9938837346736189
2,3,+,0,0.8969861706961915
2,3,-,0,0.9277781834703688
2,4,+,0,0.8713132312710232
2,4,-,0,0.8447367914999205
2,5,+,0,0.927710843373494
2,5,-,0,0.9068497908749147
2,6,+,0,0.927710843373494
2,6,-,0,0.9068497908749147
2,7,+,0,0.8749999999999999
2,7,-,0,0.9068497908749147
2,8,+,0,0.8749999999999999
2,8,-,0,0.8944271909999159
2,9,+,0,0.8499999999999999
2,9,-,0,0.8499999999999999
2,10,+,0,0.9374999999999999
2,10,-,0,0.9124999999999999
2,11,+,0,0.9374999999999999
2,11,-,0,0.9124999999999999
2,12,+,0,0.8749999999999999
2,12,-,0,0.9124999999999999
2,13,+,0,0.8624999999999998
2,13,-,0,0.8499999999999999
2,14,+,0,0.8695819912499182
2,14,-,0,0.8624999999999998
2,15,+,0,0.8695819912499182
2,15,-,0,0.8999999999999998
2,16,+,0,0.8249999999999998
